,location,beds,price,baths,half_baths
583,East,2,950.0,1,1
584,North,3,962.5,1,0
585,North,2,950.0,1,0
586,West,1,950.0,1,0
587,Null,2,950.0,1,0
588,Null,2,950.0,1,0
589,Null,2,950.0,1,0
590,Null,2,950.0,1,1
591,Null,2,950.0,1,0
592,Null,2,950.0,1,0
593,Null,2,950.0,1,0
594,Null,2,950.0,1,0
595,North,2,950.0,1,0
596,North,2,950.0,1,0
597,North,2,950.0,1,0
598,North,2,950.0,1,0
599,North,3,967.5,1,0
600,East,1,955.0,1,0
601,Null,1,959.0,1,0
602,Null,2,960.0,1,0
603,East,2,960.0,1,0
604,East,2,960.0,1,0
605,East,3,960.0,1,0
606,East,2,960.0,1,0
607,East,2,960.0,1,0
608,East,2,960.0,1,0
609,East,2,960.0,1,0
610,East,2,960.0,1,0
611,East,2,960.0,1,0
612,East,2,960.0,1,0
613,East,2,960.0,1,0
614,East,2,960.0,1,0
615,East,2,960.0,1,0
616,East,2,960.0,1,0
617,East,2,960.0,1,0
618,East,2,560.0,1,0
619,East,2,560.0,1,0
620,Null,1,965.0,1,0
621,East,1,965.0,1,1
622,Null,2,965.0,1,0
623,Null,2,965.0,1,0
624,Null,2,965.0,1,0
625,East,2,965.0,1,0
626,West,1,965.0,1,0
627,Null,1,965.0,1,0
628,Null,2,970.0,1,0
629,Null,2,975.0,1,0
630,Null,1,975.0,1,0
631,Null,2,975.0,1,0
632,Null,2,975.0,1,0
633,West,2,975.0,1,0
634,East,2,975.0,1,0
635,East,2,975.0,1,1
636,West,1,975.0,1,0
637,East,2,975.0,1,0
638,East,2,975.0,1,0
639,East,2,975.0,1,0
640,East,2,975.0,1,0
641,East,2,975.0,1,0
642,North,2,975.0,1,0
643,East,2,975.0,1,0
644,East,2,975.0,1,0
645,East,2,975.0,1,0
646,East,2,975.0,1,0
647,East,2,975.0,1,0
648,East,2,980.0,1,0
649,East,2,980.0,1,0
650,East,2,980.0,1,0
651,Null,2,980.0,1,0
652,East,2,985.0,1,0
653,East,2,990.0,1,0
654,North,2,995.0,1,0
655,West,2,995.0,1,0
656,East,2,995.0,1,0
657,Null,2,995.0,1,0
658,North,1,995.0,1,0
659,East,3,995.0,1,1
660,East,2,545.0,1,0
661,East,2,547.5,1,0
662,East,2,995.0,1,0
663,East,2,995.0,1,0
664,West,2,995.0,1,0
665,Null,2,995.0,1,0
666,West,2,995.0,1,0
667,West,2,995.0,1,0
668,Null,2,995.0,1,0
669,Null,2,995.0,1,0
670,Null,2,995.0,1,0
671,North,2,995.0,1,0
672,West,2,995.0,1,0
