location_name_shorthand,beds,baths,price,Furnished,Parking,Laundry
East,8,3,0,No,No,
East,4,2,0,No,No,
West,2,1,1050,No,No,
West,1,1,600,No,No,
East,2,1,1120,No,No,building
East,2,1,1120,No,No,building
West,4,2,2652,,,
East,4,1,0,No,No,building
East,3,1,0,No,No,building
East,4,1,2100,No,No,building
East,3,1,1720,No,No,building
East,4,1,2280,No,No,building
East,3,1,1820,No,No,building
East,4,1,2280,No,No,building
East,3,1,1895,No,No,building
East,4,1,2295,No,No,building
East,4,1,2100,No,No,building
East,3,1,1720,No,No,building
East,4,1,2260,No,No,building
East,4,1,2260,No,No,building
East,4,1,2260,No,No,building
East,3,1,1895,No,No,building
East,4,1,2280,No,No,building
East,8,2,0,No,No,
West,7,1,0,No,No,
Null,6,3,0,No,No,
East,3,1,0,No,No,
East,4,1,0,No,No,
Null,1,1,799,No,No,building
Null,1,1,949,No,No,building
East,7,2,0,No,No,
North,4,1,1780,No,No,building
Null,5,2,0,No,No,
West,2,1,899,No,No,building
West,2,1,899,No,No,building
West,4,2,2200,No,No,
East,6,2,0,No,No,
East,6,2,0,No,Yes,
Null,4,2,0,No,No,
West,6,2,0,No,Yes,building
West,Studio,1,799,No,No,
West,Studio,1,799,No,No,
West,Studio,1,799,No,No,
West,Studio,1,549,No,No,
West,2,1,1200,No,Yes,unit
East,Studio,1,640,No,No,building
East,Studio,1,640,No,Yes,building
East,4,2,2140,No,No,building
East,4,2,2140,No,Yes,building
East,2,1,1060,No,No,building
East,2,1,1060,No,Yes,building
North,6,2,2600,No,No,
East,7,3,0,No,No,
East,8,3,0,No,No,
East,6,2,0,No,No,
West,5,2,2900,No,No,unit
East,1,1,0,No,No,
West,4,1.5,2000,No,No,building
West,4,1,1980,No,No,building
East,4,1.5,1500,No,No,unit
Null,2,1,929,No,No,unit
Null,2,1,949,No,No,unit
Null,2,1,1149,No,No,unit
Null,2,1,969,No,No,unit
Null,2,1,999,No,No,unit
Null,2,1,949,No,No,unit
Null,3,1,1895,No,No,building
West,2,1,800,No,No,building
Null,1,1,949,No,No,
East,4,1,2100,No,Yes,
East,4,1,2100,No,Yes,
East,4,1,2000,No,Yes,
East,4,1,2300,No,Yes,
East,4,1,2260,No,Yes,
East,4,1,2390,No,Yes,
East,4,1,2350,No,Yes,
East,9,4,0,No,No,
East,10,4,0,No,No,
Null,6,1,0,No,No,
East,2,2,1100,No,No,building
West,3,1.5,0,No,No,
West,4,1.5,0,No,No,
North,7,4,4200,No,No,building
North,1,1,799,No,No,building
North,1,1,799,No,No,building
West,2,1,1200,,,
North,1,1,625,No,No,
North,1,1,625,No,No,
North,1,1,625,No,No,
North,1,1,625,No,No,
North,1,1,625,No,No,
North,1,1,625,No,No,
North,1,1,625,No,No,
North,1,1,625,No,No,
West,3,1.5,0,No,No,
West,4,1.5,0,No,No,
Null,3,2,1550,No,No,building
Null,3,2,1550,No,No,building
Null,3,2,1550,No,No,building
Null,3,2,1495,No,No,building
Null,3,2,1400,No,No,building
Null,3,2,1550,No,No,building
Null,4,3,0,No,No,
Null,5,3,0,No,No,
East,2,1,899,No,No,building
East,2,1,999,No,No,building
East,2,1,919,No,No,building
Null,2,1,1100,No,No,
West,2,2,1800,,,
East,Studio,1,0,No,No,building
West,3,1.5,0,No,No,
North,8,3,3000,No,No,
East,4,3,0,No,No,
East,5,3,0,No,No,
West,5,2,3200,No,No,
East,8,3,0,No,No,
East,9,3,0,No,No,
Null,1,1,799,No,No,
Null,2,1,895,No,No,
Null,2,2,875,No,No,
West,3,1,1650,No,No,building
Null,3,1,1350,No,No,unit
Null,1,1,0,No,No,
Null,2,1,0,No,No,
Null,5,2,0,No,No,
East,10,3,6250,No,No,
North,6,2,0,No,No,
North,7,2,0,No,No,
East,3,1,1200,No,No,building
East,3,1,1200,No,No,building
East,8,2,0,No,No,
West,1,1,0,No,Yes,
Null,1,1,750,No,Yes,building
East,8,3,0,No,No,
East,9,3,0,No,No,
East,2,1,0,No,No,
East,3,1,0,No,No,
Null,4,2,0,No,No,
Null,8,3,0,No,No,
Null,9,3,0,No,No,
Null,5,2,2865,No,Yes,unit
East,2,1,1100,No,No,building
West,3,1,1300,No,No,
Null,2,1,900,No,Yes,building
Null,2,1,900,No,Yes,building
Null,2,1,900,No,Yes,building
Null,3,1,1500,No,Yes,building
Null,3,1,1500,No,Yes,building
Null,3,1,1500,No,Yes,building
Null,4,1,1700,No,Yes,building
Null,4,1,1700,No,Yes,building
Null,4,1,1700,No,Yes,building
West,3,1,1200,No,Yes,building
East,4,2,1680,No,No,unit
Null,3,1,0,No,No,
West,3,1,1620,No,No,unit
East,3,1,1920,No,Yes,building
East,4,1,2560,No,Yes,building
Null,2,2,850,No,No,unit
Null,2,1,799,No,No,unit
Null,2,1,799,No,No,unit
Null,2,1,899,No,No,unit
Null,2,1,850,No,No,unit
Null,2,1,820,No,No,unit
Null,2,1,82,No,No,unit
East,3,2,1300,No,No,building
East,6,3,4700,No,No,unit
West,3,1,1350,No,No,building
East,12,3,0,No,No,
East,15,3,0,No,No,
Null,5,2,3000,No,No,unit
East,5,2,0,No,No,building
Null,4,1,0,No,No,
East,4,1,2360,No,Yes,building
East,4,3,1800,No,No,building
East,5,3,0,No,No,
East,6,3,0,No,No,
Null,6,2,2800,No,No,
East,6,2.5,0,No,No,
East,7,2.5,0,No,No,
East,1,1,0,No,No,building
East,2,1,0,No,No,building
East,3,1,0,No,No,building
East,4,1,0,No,No,building
East,5,2.5,2000,No,Yes,
East,1,1,0,No,No,building
East,1,1,0,No,No,building
East,1,1,0,No,No,building
East,1,1,0,No,No,building
East,1,1,0,No,No,building
East,1,1,0,No,No,building
East,2,1,0,No,No,building
East,2,1,0,No,No,building
East,2,1,0,No,No,building
East,2,1,0,No,No,building
East,2,1,0,No,No,building
East,2,1,0,No,No,building
East,3,1,0,No,No,building
East,3,1,0,No,No,building
East,3,1,0,No,No,building
East,3,1,0,No,No,building
East,3,1,0,No,No,building
East,3,1,0,No,No,building
East,4,1,0,No,No,building
East,4,1,0,No,No,building
East,4,1,0,No,No,building
East,4,1,0,No,No,building
East,4,1,0,No,No,building
East,4,1,0,No,No,building
Null,5,1.5,0,No,No,
East,6,1,0,No,No,
East,7,1,0,No,No,
North,11,1,0,No,No,
East,3,1,0,No,Yes,unit
Null,3,1,1620,No,Yes,unit
Null,4,1,1900,No,Yes,unit
Null,5,1,2575,No,Yes,unit
East,2,1,1299,No,No,unit
East,6,2,0,No,No,building
East,9,2,0,No,No,
East,9,2,0,No,No,
East,9,2,0,No,No,
East,9,2,0,No,No,
East,2,1,899,No,No,
East,2,1,899,No,No,
East,2,1,899,No,No,
East,2,1,899,No,No,
East,2,1,999,No,No,
East,2,1,999,No,No,
East,2,1,999,No,No,
East,2,1,999,No,No,
West,2,1,980,No,Yes,
West,2,1,980,No,Yes,
Null,1,1,725,No,Yes,building
Null,2,1,1250,No,Yes,building
Null,3,1,1845,No,Yes,building
East,2,1,1110,No,Yes,unit
East,3,1,1440,No,Yes,unit
Null,1,1,799,No,No,
Null,1,1,799,No,No,
Null,1,1,999,No,No,
Null,1,1,799,No,No,
Null,1,1,899,No,No,
Null,4,2,2160,No,No,building
West,1,1,660,No,No,
West,1,1,660,No,No,
Null,4,2,0,No,No,
West,5,2,0,No,No,
East,6,2,0,No,No,
East,5,5,0,No,No,
East,10,5,0,No,No,
East,2,1,1250,No,No,
East,2,1,1200,No,No,
East,2,1,1800,No,No,
East,2,1,999,No,No,
Null,6,3,3600,No,No,unit
East,4,3,0,No,No,
Null,1,1,0,No,No,
Null,6,1,0,No,No,
Null,7,1,0,No,No,
Null,1,1,0,No,No,unit
Null,1,1,0,No,No,unit
Null,2,2,1075,No,No,unit
Null,2,2,0,No,No,unit
East,1,1,0,No,No,
East,1,1,0,No,No,
East,3,1,0,No,No,
East,2,1,0,No,No,
East,9,2.5,0,No,No,
West,4,1,1600,No,No,building
West,4,1,1600,No,No,building
West,3,1,1835,No,Yes,building
West,3,1,1935,No,Yes,building
West,2,1,1205,No,Yes,building
