location,beds,price,baths,location_sector,parking,laundry,furnished
West,1,950,1,Southwest,No,building,No
North,2,950,1,None,No,unit,No
East,2,950,1,None,No,unit,No
East,2,950,1,Central,No,unit,No
East,2,950,1,Northeast,No,unit,No
East,2,950,1,Central,No,building,No
North,3,2925,3,Southeast,No,unit,No
Null,2,950,1,Italian,No,None,No
Null,2,950,1,Southeast,No,unit,No
Null,2,950,1,Southeast,No,unit,No
Null,2,950,1,Southeast,No,unit,No
Null,2,950,1,Southeast,No,unit,No
North,2,950,1,Northeast,No,unit,No
North,2,950,1,Northeast,No,unit,No
North,2,950,1,Central,No,building,No
North,2,950,1,Central,No,building,No
East,2,950,1,Northeast,No,None,No
North,3,2940,3,Southeast,No,unit,No
Null,1,959,1,University,Yes,building,Yes
West,1,960,1,Clintonville,Yes,building,Yes
West,1,960,1,Clintonville,Yes,building,Yes
Null,2,960,2,None,No,None,No
East,2,960,1,Central,No,None,No
East,2,960,1,Central,No,None,No
East,3,2880,1,Central,No,None,No
East,2,960,1,Central,No,None,No
East,2,960,1,Central,Yes,building,Yes
East,2,960,1,Southeast,No,building,No
East,2,960,1,Southeast,No,building,No
East,2,960,1,Southeast,No,building,No
East,2,960,1,Southeast,No,building,No
East,2,960,1,Southeast,No,building,No
East,2,960,1,Southeast,No,building,No
East,2,960,1,Southeast,No,building,No
East,2,960,1,Southeast,No,building,No
East,2,1160,1,Central,Yes,None,Yes
East,2,1160,1,Central,Yes,None,Yes
Null,2,965,1,Southwest,No,building,No
Null,2,965,1,Southwest,No,building,No
Null,2,965,1,Southwest,No,building,No
West,1,965,1,None,No,unit,No
Null,1,965,1,University,Yes,building,Yes
Null,2,970,1,Italian,No,None,No
East,2,975,1,Central,No,None,No
Null,2,975,1,Northeast,No,unit,No
Null,2,975,1,Southeast,No,building,No
Null,1,975,1,Clintonville,No,None,No
Null,2,975,1,Central,No,building,No
West,2,975,1,Southwest,No,building,No
Null,2,975,1,Central,No,building,No
East,2,975,1,Central,No,None,No
East,2,975,1,Central,No,unit,No
West,1,975,1,Southwest,No,None,No
East,2,975,1,Northeast,No,unit,No
East,2,975,1,Northeast,No,building,No
East,2,975,1,Northeast,No,building,No
East,2,975,1,Central,No,building,No
East,2,975,1,Northeast,No,building,No
East,2,975,1,Northeast,No,unit,No
East,2,975,1,Northeast,No,unit,No
East,2,975,1,Northeast,No,unit,No
East,2,975,1,Northeast,No,unit,No
West,2,980,1,Northwest,No,unit,No
East,2,980,1,Northeast,No,building,No
East,2,980,1,Northeast,No,building,No
East,2,980,1,Northeast,No,building,No
Null,2,980,1,Northwest,No,unit,No
East,2,985,1,Northeast,No,None,No
North,2,1039,2,Southeast,Yes,unit,Yes
East,1,990,1,Central,No,building,No
East,2,990,1,Northeast,No,None,No
West,2,995,1,Southwest,No,unit,No
West,2,995,1,Southwest,No,unit,No
North,2,995,1,Clintonville,No,unit,No
West,2,995,1,Southwest,No,None,No
East,2,995,1,Northeast,No,building,No
Null,2,995,1,Southeast,No,building,No
North,1,995,1,Northwest,No,unit,No
East,3,2985,1,Northeast,No,None,No
East,2,1095,1,Central,No,unit,No
East,2,1100,1,Northeast,No,None,No
East,2,995,1,Northeast,No,unit,No
East,2,995,1,Northeast,No,building,No
West,2,995,1,Southwest,No,None,No
Null,2,995,2,Southwest,No,building,No
West,2,995,1,Southwest,No,unit,No
West,2,995,1,Southwest,No,unit,No
Null,2,995,1,Southwest,No,None,No
Null,2,995,1,Southwest,No,None,No
Null,2,995,1,Southwest,No,None,No
North,2,995,1,Northwest,No,None,No
West,2,995,1,Victorian,No,building,No
Null,2,995,1,Southwest,No,building,No
Null,2,995,1,Italian,No,None,No
Null,3,1199,1,Southwest,No,building,No
Null,2,995,1,Victorian,No,None,No
West,2,1195,1,Southeast,No,None,No
Null,1,997,1,Clintonville,No,building,No
Null,1,997,1,Clintonville,No,building,No
North,2,999,1,Northeast,No,unit,No
North,3,1009,3,Southeast,Yes,unit,Yes
Null,3,1039,1,Northwest,Yes,building,Yes
Null,4,3996,2,Southwest,Yes,unit,Yes
Null,3,1190,1,University,No,building,No
East,2,1100,2,Northeast,No,unit,No
East,2,1000,1,Northeast,No,unit,No
East,2,1000,1,Central,No,unit,No
East,2,1000,1,Northeast,No,unit,No
Null,2,1000,1,Central,No,unit,No
East,2,1000,1,Central,No,building,No
North,2,1000,1,Northeast,No,unit,No
East,2,1000,1,Central,No,unit,No
East,2,1000,1,Central,No,None,No
East,2,1000,1,Central,No,unit,No
East,2,1000,1,Central,No,unit,No
East,2,1000,1,Central,No,unit,No
South,5,6000,2,None,No,building,No
Null,2,1000,1,Southwest,No,unit,No
East,0,1000,1,Southeast,No,unit,No
East,3,3000,1,Southeast,No,unit,No
Null,2,1000,1,Southwest,No,unit,No
North,2,1000,1,Central,No,building,No
West,2,1200,1,Northwest,Yes,building,Yes
West,2,1200,1,Northwest,Yes,building,Yes
West,2,1200,1,Northwest,Yes,building,Yes
West,2,1200,1,Northwest,Yes,building,Yes
West,2,1200,1,Northwest,Yes,building,Yes
West,2,1200,1,Northwest,Yes,building,Yes
West,2,1200,1,Northwest,Yes,building,Yes
West,2,1200,1,Northwest,Yes,building,Yes
West,2,1200,1,Northwest,Yes,building,Yes
Null,2,1005,1,None,Yes,None,Yes
North,3,1020,3,Southeast,No,unit,No
North,1,1010,1,Northwest,No,None,No
Null,2,1012,1,Central,Yes,building,Yes
Null,1,1015,1,Southeast,No,unit,No
East,4,1060,4,Central,No,unit,No
East,2,1020,1,Central,Yes,building,Yes
West,2,1025,1,Southwest,No,unit,No
West,2,1025,1,Southwest,No,unit,No
Null,2,1025,1,Northeast,No,building,No
Null,2,1025,1,Northeast,No,building,No
North,1,1025,1,Central,No,unit,No
Null,2,1025,1,Southeast,No,None,No
East,2,1030,1,Northeast,No,None,No
East,2,1030,1,Northeast,No,None,No
East,2,1030,1,Northeast,No,None,No
East,1,1030,1,Southeast,No,unit,No
East,1,1030,1,Southeast,No,unit,No
East,1,1030,1,Southeast,No,unit,No
Null,1,1035,1,Southeast,No,unit,No
East,2,1035,1,Northeast,No,unit,No
East,2,1035,1,Northeast,No,unit,No
East,2,1035,1,Northeast,No,unit,No
West,2,1038,1,Clintonville,Yes,building,Yes
Null,2,1039,1,Clintonville,No,building,No
East,2,1040,1,Central,Yes,building,Yes
East,3,1085,3,Central,No,unit,No
